Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Subtype	Lineage Sub-subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	5637_URINARY_TRACT	5637_URINARY_TRACT	68	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	NA	adherent	ACH-000905	NA	60.9	NA	Asian	0.4608	5%DMSO	1	NA	RPMI1640+10%FBS	Carcinoma	NS	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	NA	454	278.0195779	5637	BLCA	Bladder:Carcinoma	3.06	Urinary_Tract	NA	NA	0.99	Caucasian	1	Primary	Male	NA	bladder	NS	NS	NA	NA	15.3666666667	urinary_tract	urinary_tract
ccle_broad_2019	59M_OVARY	59M_OVARY	NA	CCLE	Ovarian Cancer	High-Grade Serous Ovarian Cancer	ECACC	NA	ACH-000520	ovarian_carcinoma	NA	NA	Caucasian	0.6144	NA	1	NA	NA	Carcinoma	NS	NS	NS	NA	ovary	NA	ovary_adenocarcinoma	high_grade_serous	228	110.6123314	59M	HGSOC	Ovary:Carcinoma	2.6	Ovary	NA	NA	0.99	NA	1	Metastasis	Female	ascites	NS	NS	NS	Adenocarcinoma, high grade serous	NA	7.5	ovary	ovary
ccle_broad_2019	639V_URINARY_TRACT	639V_URINARY_TRACT	69	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	ATCC	Adherent epithelial monolayer	ACH-000973	NA	35.8	NA	Caucasian	0.5058	10%DMSO	0	NA	DMEM + 10% FBS	Carcinoma	transitional_cell_carcinoma	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	bladder_transitional_cell	2114	683.9508067	639-V	BLCA	Bladder:Carcinoma	2.3	Urinary_Tract	NA	NA	1	Caucasian	1	Primary	Male	NA	ureter	NS	NS	Transitional Cell Carcinoma	NA	70.3333333333	urinary_tract	urinary_tract
ccle_broad_2019	647V_URINARY_TRACT	647V_URINARY_TRACT	NA	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	DSMZ	Adherent	ACH-000896	NA	92.4	NA	Caucasian	0.8615	10% DMSO	1	NA	DMEM +15%FBS	Carcinoma	transitional_cell_carcinoma	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	NA	465	262.2241885	647-V	BLCA	Bladder:Carcinoma	2.51	Urinary_Tract	NA	NA	1	NA	1	Primary	Male	NA	bladder	NS	NS	Carcinoma	2 mM L-glutamine	15.6666666667	urinary_tract	urinary_tract
ccle_broad_2019	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12	CCLE	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	DSMZ	adherent	ACH-000070	NA	46.6	NA	Caucasian	0.1070	5% DMSO	0	NA	RPMI + 10 % FBS	Lymphoid_Neoplasm	acute_lymphoblastic_B_cell_leukaemia	NS	NS	NA	blood	NA	ALL	b_cell	169	75.69945569	697	BLL	Leukemia:ALL	2.03	Haematopoietic_And_Lymphoid_Tissue	30	126	0.99	NA	1	Primary	Male	NA	NS	NS	NS	Acute Lymphoblastic Leukemia (ALL), B-cell	NA	5.63333333333	leukemia_other	leukemia_other
ccle_broad_2019	769P_KIDNEY	769P_KIDNEY	63	CCLE	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ATCC	Epithelial adherent	ACH-000411	kidney_cancer	31.5	NA	Caucasian	0.1803	5%DMSO	0	NA	RPMI1640+10%FBS	Carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	NA	kidney	NA	renal_cell_carcinoma	clear_cell	202	104.2734932	769-P	CCRCC	Kidney:Carcinoma	1.99	Kidney	25	126	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Renal Carcinoma, clear cell	NA	6.76666666667	kidney	kidney
ccle_broad_2019	786O_KIDNEY	786O_KIDNEY	58	CCLE	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	NIBRI	NA	ACH-000649	kidney_cancer	NA	NA	Caucasian	0.4412	NA	1	NA	NA	Carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	NA	kidney	NA	renal_cell_carcinoma	clear_cell	348	170.9658415	786-O	CCRCC	Kidney:Carcinoma	3.71	Kidney	10	130c	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Renal Carcinoma, clear cell	NA	11.6333333333	kidney	kidney
ccle_broad_2019	8305C_THYROID	8305C_THYROID	67	CCLE	Thyroid Cancer	Anaplastic Thyroid Cancer	DSMZ	Adherent large spindle-shaped cells growing in monolayer	ACH-001306	NA	121.6	54hrs	Asian	0.5358	10%DMSO	1	NA	RPMI1640+20%FBS	Carcinoma	anaplastic_carcinoma	NS	NS	NA	thyroid	NA	thyroid_carcinoma	NA	314	200.9082363	8305C	THAP	Thyroid:Carcinoma	3.19	Thyroid	30	127n	0.99	NA	1	Primary	Female	NA	NS	NS	NS	Carcinoma	NA	10.8	thyroid	thyroid
ccle_broad_2019	8505C_THYROID	8505C_THYROID	78	CCLE	Thyroid Cancer	Anaplastic Thyroid Cancer	HSRRB	fibroblast-like	ACH-001307	NA	NA	NA	Asian	0.5958	NA	1	NA	Eagle's minimal essential medium with 10% fetal calf serum	Carcinoma	anaplastic_carcinoma	NS	NS	NA	thyroid	NA	thyroid_carcinoma	NA	233	141.2085595	8505C	THAP	Thyroid:Carcinoma	2.83	Thyroid	40	126	1	NA	1	Primary	Female	NA	NS	NS	NS	Carcinoma	NA	7.86666666667	thyroid	thyroid
ccle_broad_2019	8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	54	CCLE	Glioma	Astrocytoma	DSMZ	Adherent	ACH-000137	NA	43	NA	Caucasian	0.3002	5% DMSO	1	NA	EMEM + 20% FBS	Glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	NA	central_nervous_system	NA	glioma	astrocytoma	216	88.33759451	8-MG-BA	ASTR	CNS:Glioma_HighGrade	2.31	Central_Nervous_System	NA	NA	1	African_American	1	Primary	Female	NA	frontal_lobe	NS	NS	Astrocytoma	NA	7.26666666667	glioma	glioma
ccle_broad_2019	A101D_SKIN	A101D_SKIN	56	CCLE	Melanoma	Cutaneous Melanoma	GNF	NA	ACH-000008	NA	69.1	NA	Caucasian	0.7564	NA	1	NA	NA	Malignant_Melanoma	NS	NS	NS	NA	skin	NA	melanoma	NA	253	78.14512866	A101D	SKCM	Skin:Melanoma	2.63	Skin	38	126	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Melanoma	NA	8.4	melanoma	melanoma
ccle_broad_2019	A1207_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	NA	ACHILLES	Glioma	Glioblastoma	NA	NA	ACH-000283	NA	NA	NA	Caucasian	0.6374	NA	1	NA	NA	Glioma	NS	NS	NS	NA	central_nervous_system	NA	glioma	glioblastoma	93	NA	A1207	GB	NA	2.79	Central_Nervous_System	NA	NA	1	NA	1	NA	Female	NA	NS	NS	NS	Glioblastoma	NA	3.2	glioma	glioma
ccle_broad_2019	A172_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	53	CCLE	Glioma	Glioblastoma Multiforme	ATCC	Adherent	ACH-000558	brain_cancer	67.5	NA	Caucasian	0.6671	5%DMSO	0	NA	DMEM +10%FBS	Glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	NA	central_nervous_system	NA	glioma	glioblastoma	268	135.6190716	A172	GBM	CNS:Glioma_HighGrade	1.97	Central_Nervous_System	24	127n	1	NA	1	Primary	Male	NA	brain	NS	NS	Glioblastoma	NA	9.06666666667	glioma	glioma
ccle_broad_2019	A204_SOFT_TISSUE	A204_SOFT_TISSUE	1	CCLE	Rhabdoid Cancer	Rhabdoid Cancer	NIBRI	NA	ACH-000201	NA	NA	NA	Caucasian	0.0248	NA	0	NA	NA	Rhabdoid_Tumour	NS	NS	NS	pediatric	soft_tissue	NA	malignant_rhabdoid_tumor	NA	205	92.67187107	A-204	MRT	Soft_Tissue:Sarcoma_Rhabdoid	2	Soft_Tissue	23	126	1	NA	1	Primary	Female	NA	striated_muscle	NS	NS	Malignant Rhabdoid Tumor	NA	7.0	soft_tissue	soft_tissue
ccle_broad_2019	A2058_SKIN	A2058_SKIN	43	CCLE	Melanoma	Cutaneous Melanoma	GNF	NA	ACH-000788	melanoma	NA	NA	Caucasian	0.2263	NA	0	NA	NA	Malignant_Melanoma	NS	NS	NS	NA	skin	NA	melanoma	NA	556	164.676892	A2058	SKCM	Skin:Melanoma	2.21	Skin	3	129n	1	Caucasian	1	Metastasis	Male	lymph_node	NS	NS	NS	Melanoma	NA	18.6666666667	melanoma	melanoma
ccle_broad_2019	A253_SALIVARY_GLAND	A253_SALIVARY_GLAND	54	CCLE	Salivary Gland Cancer	Mucoepidermoid Carcinoma	ATCC	Adherent	ACH-000740	NA	47.3	NA	Caucasian	0.5868	5% DMSO	1	NA	McCoy's 5A + 10% FBS	Carcinoma	mucoepidermoid_carcinoma	NS	NS	NA	upper_aerodigestive	NA	upper_aerodigestive_squamous	salivary_gland	462	150.1577888	A-253	MUCC	Salivary_Gland:Carcinoma	2.95	Salivary_Gland	NA	NA	1	Caucasian	1	Primary	Male	NA	submaxillary	NS	NS	Squamous Cell Carcinoma, salivary gland	NA	15.5333333333	other	upper_aerodigestive
ccle_broad_2019	A2780_OVARY	A2780_OVARY	NA	CCLE	Ovarian Cancer	Endometrioid Ovarian Cancer	NIBRI	Monolayer and suspension	ACH-000657	ovarian_cancer	73.3	NA	African_american	0.0826	NA	0	NA	RPMI1640+10%FBS	Carcinoma	adenocarcinoma	NS	NS	NA	ovary	NA	ovary_adenocarcinoma	endometrioid	491	206.5489916	A2780	EOV	Ovary:Carcinoma	2.01	Ovary	14	129c	1	NA	1	Primary	Female	NA	NS	NS	NS	Adenocarcinoma, endometrioid	2mM L-Glutamine	17.0333333333	ovary	ovary
ccle_broad_2019	A375_SKIN	A375_SKIN	54	CCLE	Melanoma	Cutaneous Melanoma	ATCC	Adherent	ACH-000219	NA	30.8	NA	Caucasian	0.4049	5%DMSO	1	NA	DMEM +10%FBS	Malignant_Melanoma	NS	NS	NS	NA	skin	NA	melanoma	NA	618	150.0581377	A-375	SKCM	Skin:Melanoma	2.76	Skin	3	128c	0.99	NA	1	Primary	Female	NA	NS	NS	NS	Melanoma	NA	20.7333333333	melanoma	melanoma
ccle_broad_2019	A388_SKIN	A388_SKIN	NA	NA	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	NA	NA	ACH-001442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	epidermoid_carcinoma	NA	skin_squamous	NA	282	NA	NA	CSCC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Squamous Cell Carcinoma	NA	9.43333333333	NA	NA
ccle_broad_2019	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	CCLE	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	HSRRB	suspension; grows in aggregates	ACH-000697	NA	40	NA	Asian	0.2337	5% DMSO	0	NA	NA	Lymphoid_Neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	NA	lymphocyte	NA	non_hodgkin_lymphoma	DLBCL	626	211.4255162	A3/KAW	DLBCLNOS	Lymphoma:NH_B_cell	2.1	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	NA	1	Primary	Female	NA	NS	NS	NS	Diffuse Large B-cell Lymphoma (DLBCL)	NA	21.1666666667	lymphoma_DLBCL	lymphoma_DLBCL
ccle_broad_2019	A427_LUNG	A427_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	499	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	16.7666666667	NA	lung_NSC
ccle_broad_2019	A431_SKIN	A431_SKIN	NA	NA	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	NA	NA	ACH-001328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skin	NA	skin_squamous	NA	447	NA	NA	CSCC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Squamous Cell Carcinoma	NA	15.1333333333	NA	NA
ccle_broad_2019	A498_KIDNEY	A498_KIDNEY	52	CCLE	Renal Cell Carcinoma	Renal Cell Carcinoma	NA	adherent	ACH-000555	renal_cell_carcinoma	53.6	NA	Caucasian	0.6158	5%DMSO	1	NA	EMEM+10%FBS	Carcinoma	renal_cell_carcinoma	NS	NS	NA	kidney	NA	renal_cell_carcinoma	NA	217	108.0383796	A-498	RCC	Kidney:Carcinoma	3.28	Kidney	5	130n	1	NA	1	Primary	Male	NA	NS	NS	NS	Renal Cell Carcinoma	NA	7.2	kidney	kidney
ccle_broad_2019	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	52	CCLE	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	JCRB	SUSPENSION	ACH-000157	NA	118.1	NA	Asian	0.1503	5% DMSO	0	NA	RPMI-10% FBS	Lymphoid_Neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	NA	lymphocyte	NA	non_hodgkin_lymphoma	DLBCL	408	116.4358582	A4/Fuk	DLBCLNOS	Lymphoma:NH_B_cell	2.05	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	Asian	1	Primary	Female	NA	NS	NS	NS	Diffuse Large B-cell Lymphoma (DLBCL)	NA	13.8666666667	lymphoma_DLBCL	lymphoma_DLBCL
ccle_broad_2019	A549_LUNG	A549_LUNG	58	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ATCC	adherent; epithelial; DT=22 hrs	ACH-000681	lung_cancer	54	NA	Caucasian	0.4940	5% DMSO	1	NA	F-12 +10%FBS	Carcinoma	non_small_cell_carcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	565	159.4917529	A549	LUAD	Lung:NSCLC_Others	2.85	Lung	12	127n	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	18.9666666667	lung_NSC	lung_NSC
ccle_broad_2019	A673_BONE	A673_BONE	15	CCLE	Bone Cancer	Ewing Sarcoma	NIBRI	NA	ACH-000052	Ewings_sarcoma	NA	NA	Caucasian	0.1457	NA	0	NA	NA	Ewings_Sarcoma-Peripheral_Primitive_Neuroectodermal_Tumour	NS	NS	NS	NA	bone	EWS_FLI	Ewing_sarcoma	NA	144	61.21045057	A-673	ES	Bone:Sarcoma_Ewing	2.01	Bone	27	126	1	NA	1	Primary	Female	NA	NS	NS	NS	Ewings Sarcoma	NA	4.86666666667	Ewings_Sarcoma	Ewings_sarcoma
ccle_broad_2019	A704_KIDNEY	A704_KIDNEY	78	CCLE	Renal Cell Carcinoma	Renal Cell Carcinoma	GNF	NA	ACH-000429	kidney_cancer	NA	NA	African_american	0.3140	5% DMSO	0	NA	MEM+10% FBS	Carcinoma	renal_cell_carcinoma	NS	NS	NA	kidney	NA	renal_cell_carcinoma	NA	373	114.8901438	A-704	RCC	Kidney:Carcinoma	1.99	Kidney	32	126	1	NA	1	Primary	Male	NA	NS	NS	NS	Renal Cell Carcinoma	NA	12.9333333333	kidney	kidney
ccle_broad_2019	ABC1_LUNG	ABC1_LUNG	47	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	HSRRB	Adherent; 0.25% TRYPSIN	ACH-000528	lung_cancer	40.12291	NA	Asian	0.8262	5% DMSO	1	NA	EMEM+10% FBS	Carcinoma	non_small_cell_carcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	445	146.9349526	ABC-1	LUAD	Lung:NSCLC_Others	2.53	Lung	4	128n	1	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	15.0	lung_NSC	lung_NSC
ccle_broad_2019	ACCMESO1_PLEURA	ACCMESO1_PLEURA	NA	CCLE	Mesothelioma	Pleural Mesothelioma	RIKEN	fibroblast-like	ACH-000086	NA	NA	NA	Asian	0.3978	NA	0	NA	RPMI 1640 +10% FBS	Mesothelioma	NS	NS	NS	NA	lung	NA	mesothelioma	NA	174	112.0205451	ACC-MESO-1	PLMESO	Lung:Mesothelioma	1.1	Pleura	NA	NA	0.99	NA	1	Metastasis	NA	pleura	NS	NS	NS	Mesothelioma	NA	5.93333333333	mesothelioma	mesothelioma
ccle_broad_2019	ACCS_URINARY_TRACT	ACCS_URINARY_TRACT	81	CCLE	Bladder Cancer	Bladder Urothelial Carcinoma	NA	NA	ACH-001011	transitional_cell_carcinoma	NA	NA	NA	NA	NA	NA	NA	NA	Carcinoma	transitional_cell_carcinoma	NS	NS	NA	urinary_tract	NA	bladder_carcinoma	NA	51	NA	ACCS	BLCA	NA	NA	Urinary_Tract	NA	NA	NA	Caucasian	1	Primary	Female	NA	bladder	NS	NS	Carcinoma	NA	1.7	urinary_tract	urinary_tract
ccle_broad_2019	ACHN_KIDNEY	ACHN_KIDNEY	22	CCLE	Renal Cell Carcinoma	Renal Cell Carcinoma	ATCC	Adherent	ACH-000046	kidney_cancer	284.1	NA	Caucasian	0.6778	5% DMSO	0	NA	EMEM +10%FBS	Carcinoma	renal_cell_carcinoma	NS	NS	NA	kidney	NA	renal_cell_carcinoma	NA	125	68.18873896	ACHN	RCC	Kidney:Carcinoma	1.22	Kidney	NA	NA	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Renal Cell Carcinoma	NA	4.23333333333	kidney	kidney
ccle_broad_2019	ACN_AUTONOMIC_GANGLIA	ACN_AUTONOMIC_GANGLIA	NA	NA	Peripheral Nervous System	Neuroblastoma	NA	NA	ACH-002389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	peripheral_nervous_system	NA	neuroblastoma	NA	351	NA	NA	NBL	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	11.8333333333	NA	NA
ccle_broad_2019	AGS_STOMACH	AGS_STOMACH	54	CCLE	Esophagogastric Cancer	Stomach Adenocarcinoma	NIBRI	NA	ACH-000880	NA	NA	NA	Caucasian	0.1557	NA	0	NA	NA	Carcinoma	adenocarcinoma	NS	NS	NA	gastric	NA	gastric_adenocarcinoma	NA	816	279.1727872	AGS	STAD	Gastric:Carcinoma	2.1	Stomach	16	126	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Adenocarcinoma	NA	27.4333333333	stomach	stomach
ccle_broad_2019	ALEXANDERCELLS_LIVER	ALEXANDERCELLS_LIVER	NA	NA	Hepatobiliary Cancer	Hepatocellular Carcinoma	NA	NA	NA	NA	NA	NA	NA	0.7315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ccle_broad_2019	ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	NA	NA	ACH-002209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blood	NA	ALL	b_cell	180	NA	NA	BLL	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Acute Lymphoblastic Leukemia (ALL), B-cell	NA	5.96666666667	NA	NA
ccle_broad_2019	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	17	CCLE	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	DSMZ	Mostly round cellsgrowing singly or in small clusters in suspention	ACH-000105	TALL	74	~  48 hrs	Caucasian	0.2014	10%DMSO	0	NA	80-90% RPHI 1640+10-20% h.i.FBS	Lymphoid_Neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	NA	blood	NA	ALL	t_cell	162	122.8998449	ALL-SIL	TLL	Leukemia:ALL	2.11	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Acute Lymphoblastic Leukemia (ALL), T-cell	NA	5.46666666667	T-cell_ALL	T-cell_ALL
