Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,ETHNICITY,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue,create_date,version
SRR8670677,24,WGS,GCA_000001405.13,202,104163537150,NIBRI,PRJNA523380,SAMN10988351,Human,50013851168,SK-MEL-5,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,metastasis,Caucasian,SRX5466703,Illumina HiSeq 2000,cell line,WGS-SKMEL5_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKMEL5_SKIN,cell culture,female,SRP186687,skin,2019-03-05T18:56:00Z,1
SRR8670678,65,WGS,GCA_000001405.13,173,134665127292,NA,PRJNA523380,SAMN10987781,Human,71222368907,SK-MES-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),metastasis,Caucasian,SRX5466702,Illumina HiSeq 2000,cell line,WGS-SKMES1_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKMES1_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:44:00Z,1
SRR8670679,60,WGS,GCA_000001405.13,202,130403894266,NA,PRJNA523380,SAMN10988256,Human,59837500531,SK-MEL-2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,metastasis,Caucasian,SRX5466701,Illumina HiSeq 2000,cell line,WGS-SKMEL2_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKMEL2_SKIN,cell culture,male,SRP186687,skin,2019-03-05T20:43:00Z,1
SRR8670680,67,WGS,GCA_000001405.13,202,137479612684,DSMZ:SK-MEL-30,PRJNA523380,SAMN10988313,Human,75665525060,SK-MEL-30,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,metastasis,Caucasian,SRX5466700,Illumina HiSeq 2000,cell line,WGS-SKMEL30_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKMEL30_SKIN,cell culture,male,SRP186687,skin,2019-03-05T19:59:00Z,1
SRR8670681,60,WGS,GCA_000001405.13,202,102228824984,ATCC:SK-LU-1,PRJNA523380,SAMN10987792,Human,51806995924,SK-LU-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466699,Illumina HiSeq 2000,cell line,WGS-SKLU1_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKLU1_LUNG,cell culture,female,SRP186687,lung,2019-03-05T18:07:00Z,1
SRR8670682,67,WGS,GCA_000001405.13,202,129893048992,ATCC:SK-MEL-24,PRJNA523380,SAMN10988223,Human,63449709014,SK-MEL-24,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,metastasis,Caucasian,SRX5466698,Illumina HiSeq 2000,cell line,WGS-SKMEL24_SKIN,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKMEL24_SKIN,cell culture,male,SRP186687,skin,2019-03-05T19:26:00Z,1
SRR8670683,52,WGS,GCA_000001405.13,174,141541121038,ATCC:SK-HEP-1,PRJNA523380,SAMN10988022,Human,76313366628,SK-HEP-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5466697,Illumina HiSeq 2000,cell line,WGS-SKHEP1_LIVER,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKHEP1_LIVER,cell culture,male,SRP186687,liver,2019-03-05T23:09:00Z,1
SRR8670684,43,WGS,GCA_000001405.13,202,146095939046,NIBRI,PRJNA523380,SAMN10988181,Human,84070151352,SK-LMS-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sarcoma,primary,Caucasian,SRX5466696,Illumina HiSeq 2000,cell line,WGS-SKLMS1_SOFT_TISSUE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKLMS1_SOFT_TISSUE,cell culture,female,SRP186687,soft_tissue,2019-03-05T23:02:00Z,1
SRR8670685,54,WGS,GCA_000001405.13,179,186161214663,ATCC:SHP-77,PRJNA523380,SAMN10988529,Human,101638580900,SHP-77,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5466695,Illumina HiSeq 2000,cell line,WGS-SHP77_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SHP77_LUNG,cell culture,male,SRP186687,lung,2019-03-06T14:59:00Z,1
SRR8670686,65,WGS,GCA_000001405.13,202,114383762500,ATCC:SK-CO-1,PRJNA523380,SAMN10988030,Human,54771172802,SK-CO-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466694,Illumina HiSeq 2000,cell line,WGS-SKCO1_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SKCO1_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine,2019-03-05T18:18:00Z,1
SRR8670687,NA,WGS,GCA_000001405.13,202,124473731988,ATCC:NCI-H460,PRJNA523380,SAMN10987808,Human,58940751576,NCI-H460,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (large_cell_carcinoma),metastasis,Caucasian,SRX5466693,Illumina HiSeq 2000,cell line,WGS-NCIH460_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH460_LUNG,cell culture,male,SRP186687,lung,2019-03-05T18:53:00Z,1
SRR8670688,61,WGS,GCA_000001405.13,202,123696732120,ATCC:NCI-H446,PRJNA523380,SAMN10988349,Human,65926014194,NCI-H446,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466692,Illumina HiSeq 2000,cell line,WGS-NCIH446_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH446_LUNG,cell culture,male,SRP186687,lung,2019-03-05T22:03:00Z,1
SRR8670689,56,WGS,GCA_000001405.13,202,113044794188,ATCC:NCI-H510,PRJNA523380,SAMN10987639,Human,55986356980,NCI-H510,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5466691,Illumina HiSeq 2000,cell line,WGS-NCIH510_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH510_LUNG,cell culture,male,SRP186687,lung,2019-03-05T19:22:00Z,1
SRR8670690,55,WGS,GCA_000001405.13,202,203719293710,NIBRI,PRJNA523380,SAMN10987662,Human,104412153884,NCI-H508,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5466690,Illumina HiSeq 2000,cell line,WGS-NCIH508_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH508_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine,2019-03-05T20:27:00Z,1
SRR8670691,60,WGS,GCA_000001405.13,202,113103789096,GNF,PRJNA523380,SAMN10988279,Human,58749139777,NCI-H522,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (non_small_cell_carcinoma),primary,Caucasian,SRX5466689,Illumina HiSeq 2000,cell line,WGS-NCIH522_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH522_LUNG,cell culture,male,SRP186687,lung,2019-03-05T18:28:00Z,1
SRR8670692,NA,WGS,GCA_000001405.13,202,144183157212,ATCC:NCI-H520,PRJNA523380,SAMN10987782,Human,72912806176,NCI-H520,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (squamous_cell_carcinoma),primary,Caucasian,SRX5466688,Illumina HiSeq 2000,cell line,WGS-NCIH520_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH520_LUNG,cell culture,male,SRP186687,lung,2019-03-05T19:59:00Z,1
SRR8670693,55,WGS,GCA_000001405.13,202,135775794598,ATCC:NCI-H526,PRJNA523380,SAMN10988341,Human,72797565919,NCI-H526,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466687,Illumina HiSeq 2000,cell line,WGS-NCIH526_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH526_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:58:00Z,1
SRR8670694,63,WGS,GCA_000001405.13,202,153876366178,ATCC:NCI-H524,PRJNA523380,SAMN10988203,Human,86687694995,NCI-H524,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466686,Illumina HiSeq 2000,cell line,WGS-NCIH524_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH524_LUNG,cell culture,male,SRP186687,lung,2019-03-05T18:52:00Z,1
SRR8670695,NA,WGS,GCA_000001405.13,202,114774127298,ATCC:NCI-H650,PRJNA523380,SAMN10988027,Human,59504959440,NCI-H650,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (bronchioloalveolar_adenocarcinoma),metastasis,Caucasian,SRX5466685,Illumina HiSeq 2000,cell line,WGS-NCIH650_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH650_LUNG,cell culture,male,SRP186687,lung,2019-03-05T18:48:00Z,1
SRR8670696,73,WGS,GCA_000001405.13,202,105127403986,ATCC:NCI-H596,PRJNA523380,SAMN10988026,Human,50880013217,NCI-H596,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (mixed_adenosquamous_carcinoma),primary,Caucasian,SRX5466684,Illumina HiSeq 2000,cell line,WGS-NCIH596_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH596_LUNG,cell culture,male,SRP186687,lung,2019-03-05T17:56:00Z,1
SRR8670697,72,WGS,GCA_000001405.13,202,129962181674,JHSF,PRJNA523380,SAMN10988359,Human,76535005662,NUGC-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,primary,Asian,SRX5466683,Illumina HiSeq 2000,cell line,WGS-NUGC3_STOMACH,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NUGC3_STOMACH,cell culture,male,SRP186687,stomach,2019-03-05T22:14:00Z,1
SRR8670698,60,WGS,GCA_000001405.13,202,153262457474,ATCC:NIH:OVCAR-3,PRJNA523380,SAMN10987888,Human,75069413319,NIH:OVCAR-3,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,Caucasian,SRX5466682,Illumina HiSeq 2000,cell line,WGS-NIHOVCAR3_OVARY,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NIHOVCAR3_OVARY,cell culture,female,SRP186687,ovary,2019-03-05T22:28:00Z,1
SRR8670699,41,WGS,GCA_000001405.13,202,125037692556,ATCC:NCI-H82,PRJNA523380,SAMN10987912,Human,66464490206,NCI-H82,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466681,Illumina HiSeq 2000,cell line,WGS-NCIH82_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH82_LUNG,cell culture,male,SRP186687,lung,2019-03-05T19:11:00Z,1
SRR8670700,69,WGS,GCA_000001405.13,175,142418488646,NIBRI,PRJNA523380,SAMN10988329,Human,74330924211,NCI-H747,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),metastasis,Caucasian,SRX5466680,Illumina HiSeq 2000,cell line,WGS-NCIH747_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH747_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine,2019-03-05T23:07:00Z,1
SRR8670701,55,WGS,GCA_000001405.13,202,124364178298,ATCC:NCI-H69,PRJNA523380,SAMN10988132,Human,61699598481,NCI-H69,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466679,Illumina HiSeq 2000,cell line,WGS-NCIH69_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH69_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:47:00Z,1
SRR8670702,43,WGS,GCA_000001405.13,202,141964455468,ATCC:NCI-H661,PRJNA523380,SAMN10988284,Human,77532197003,NCI-H661,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (large_cell_carcinoma),metastasis,Caucasian,SRX5466678,Illumina HiSeq 2000,cell line,WGS-NCIH661_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH661_LUNG,cell culture,male,SRP186687,lung,2019-03-05T21:20:00Z,1
SRR8670703,NA,WGS,GCA_000001405.13,202,132702657094,NA,PRJNA523380,SAMN10987913,Human,70511709192,NCI-N87,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma,metastasis,African_american,SRX5466677,Illumina HiSeq 2000,cell line,WGS-NCIN87_STOMACH,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIN87_STOMACH,cell culture,male,SRP186687,stomach,2019-03-05T19:21:00Z,1
SRR8670704,69,WGS,GCA_000001405.13,202,116783214046,ATCC:NCI-H889,PRJNA523380,SAMN10988219,Human,59763192142,NCI-H889,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466676,Illumina HiSeq 2000,cell line,WGS-NCIH889_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH889_LUNG,cell culture,female,SRP186687,lung,2019-03-05T19:49:00Z,1
SRR8670705,51,WGS,GCA_000001405.13,202,122388074918,NA,PRJNA523380,SAMN10988536,Human,66867347918,NCI-H841,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),metastasis,Caucasian,SRX5466675,Illumina HiSeq 2000,cell line,WGS-NCIH841_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH841_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:42:00Z,1
SRR8670706,59,WGS,GCA_000001405.13,202,117806104474,ATCC:NCI-H838,PRJNA523380,SAMN10987750,Human,57682000992,NCI-H838,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (non_small_cell_carcinoma),metastasis,Caucasian,SRX5466674,Illumina HiSeq 2000,cell line,WGS-NCIH838_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,NCIH838_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:01:00Z,1
SRR8670707,50,WGS,GCA_000001405.13,202,155792465660,ATCC:SW480,PRJNA523380,SAMN10987646,Human,88044435638,SW480,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466673,Illumina HiSeq 2000,cell line,WGS-SW480_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW480_LARGE_INTESTINE,cell culture,male,SRP186687,large_intestine,2019-03-05T20:34:00Z,1
SRR8670708,82,WGS,GCA_000001405.13,202,108940509506,NIBRI,PRJNA523380,SAMN10988325,Human,55292029458,SW48,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5466672,Illumina HiSeq 2000,cell line,WGS-SW48_LARGE_INTESTINE,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW48_LARGE_INTESTINE,cell culture,female,SRP186687,large_intestine,2019-03-05T18:09:00Z,1
SRR8670709,73,WGS,GCA_000001405.13,202,141473363572,HSSRB,PRJNA523380,SAMN10988018,Human,72969212070,SUIT-2,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),metastasis,Asian,SRX5466671,Illumina HiSeq 2000,cell line,WGS-SUIT2_PANCREAS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SUIT2_PANCREAS,cell culture,male,SRP186687,pancreas,2019-03-05T19:52:00Z,1
SRR8670710,69,WGS,GCA_000001405.13,173,129603289385,ATCC:SW 1271,PRJNA523380,SAMN10987907,Human,68086955561,SW 1271,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (small_cell_carcinoma),primary,Caucasian,SRX5466670,Illumina HiSeq 2000,cell line,WGS-SW1271_LUNG,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW1271_LUNG,cell culture,male,SRP186687,lung,2019-03-05T20:23:00Z,1
SRR8670711,68,WGS,GCA_000001405.13,202,113339832156,NIBRI,PRJNA523380,SAMN10987670,Human,56157626548,SW 1783,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","glioma (astrocytoma_Grade_III\, anaplastic)",primary,Caucasian,SRX5466669,Illumina HiSeq 2000,cell line,WGS-SW1783_CENTRAL_NERVOUS_SYSTEM,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW1783_CENTRAL_NERVOUS_SYSTEM,cell culture,male,SRP186687,central_nervous_system,2019-03-05T18:31:00Z,1
SRR8670712,56,WGS,GCA_000001405.13,202,107648783944,NIBRI,PRJNA523380,SAMN10987630,Human,56287212030,SW 1990,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (ductal_carcinoma),primary,Caucasian,SRX5466668,Illumina HiSeq 2000,cell line,WGS-SW1990_PANCREAS,PAIRED,size fractionation,GENOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,SW1990_PANCREAS,cell culture,male,SRP186687,pancreas,2019-03-05T21:21:00Z,1
